round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine,drifted_mean_reward,control_mean_reward,drifted_alignment,control_alignment
0,10,0.102379,0.252623,0.102379,nan,0.252623,nan
1,20,0.135984,0.271210,0.135984,nan,0.271210,nan
2,30,0.174905,0.284552,0.174905,nan,0.284552,nan
3,40,0.189634,0.298509,0.189634,nan,0.298509,nan
4,50,0.198411,0.312953,0.198411,nan,0.312953,nan
5,60,0.209661,0.325455,0.209661,nan,0.325455,nan
6,70,0.219286,0.336075,0.219286,nan,0.336075,nan
7,80,0.225829,0.346094,0.225829,nan,0.346094,nan
8,90,0.229598,0.356117,0.229598,nan,0.356117,nan
9,100,0.240850,0.364873,0.240850,nan,0.364873,nan
10,110,0.165018,0.330478,0.165018,nan,0.330478,nan
11,120,0.220209,0.370099,0.220209,nan,0.370099,nan
12,130,0.251226,0.405386,0.251226,nan,0.405386,nan
13,140,0.271459,0.442155,0.271459,nan,0.442155,nan
14,150,0.299497,0.482055,0.299497,nan,0.482055,nan
15,160,0.330573,0.525268,0.330573,nan,0.525268,nan
16,170,0.357100,0.570268,0.357100,nan,0.570268,nan
17,180,0.389821,0.612180,0.389821,nan,0.612180,nan
18,190,0.411208,0.650454,0.411208,nan,0.650454,nan
19,200,0.439246,0.685743,0.439246,nan,0.685743,nan
