round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.451145,12.711413,0.467430,0.417700,0.077540,0.029380,0.009230,8.661008,0.102379,0.886709,0.102936
1,100000,0.419719,10.292823,0.497210,0.384520,0.071590,0.026460,0.009900,6.897027,0.072270,0.498445,0.100309
2,100000,0.423760,8.495092,0.493410,0.389380,0.071620,0.026690,0.009340,6.412312,0.072412,0.464331,0.100866
3,100000,0.444882,9.366707,0.472360,0.411400,0.075820,0.028640,0.010090,6.402868,0.092879,0.594691,0.099362
4,100000,0.420186,10.698242,0.497320,0.385300,0.073540,0.026160,0.008990,6.538939,0.072708,0.475432,0.097461
5,100000,0.436256,9.496427,0.479450,0.402880,0.074520,0.027980,0.010890,6.585880,0.083837,0.552140,0.095987
6,100000,0.423166,11.753918,0.494140,0.388930,0.072840,0.026470,0.010410,6.527841,0.076974,0.502477,0.095280
7,100000,0.402012,12.711061,0.512920,0.366870,0.069120,0.025840,0.010630,6.529120,0.061830,0.403697,0.092505
8,100000,0.413832,12.270868,0.502030,0.380420,0.071340,0.024400,0.010760,6.502373,0.069112,0.449395,0.090719
9,100000,0.416826,11.851683,0.498160,0.382830,0.070540,0.025710,0.011420,6.529546,0.072614,0.474137,0.090374
10,100000,0.572493,20.711569,0.374290,0.518920,0.107860,0.039690,0.018270,6.511688,0.211167,1.375051,0.245637
11,100000,0.569750,20.907510,0.368260,0.532420,0.124080,0.045300,0.026270,6.533386,0.218037,1.424519,0.261784
12,100000,0.550464,17.238959,0.386700,0.513110,0.118800,0.043570,0.025900,6.526137,0.197134,1.286523,0.249539
13,100000,0.533671,17.138184,0.401810,0.487830,0.096770,0.035660,0.020730,6.508722,0.177763,1.157007,0.199390
14,100000,0.557316,15.894821,0.379580,0.519620,0.122040,0.045580,0.034010,6.550934,0.203570,1.333572,0.267345
15,100000,0.552811,16.823739,0.381810,0.519510,0.123440,0.045890,0.034010,6.498993,0.199298,1.295237,0.263642
16,100000,0.555248,18.778868,0.394100,0.497730,0.109320,0.039340,0.013670,6.527841,0.193205,1.261214,0.264561
17,100000,0.570234,18.600124,0.370610,0.529020,0.127470,0.046870,0.031020,6.514234,0.213450,1.390465,0.287961
18,100000,0.521983,23.558041,0.410570,0.483500,0.112610,0.041140,0.030620,6.537230,0.178716,1.168309,0.247851
19,100000,0.525757,19.697870,0.417530,0.473060,0.102680,0.037280,0.014510,6.508298,0.169628,1.103991,0.244462
