round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,9727,0,390.325075,404.000000,5.316233,0.119699,0.081279,-0.050864,0.042151,0.086563,0.432999,0.000000,410,842,8176,299,0
1,9929,0,94111.124182,254.000000,4.009769,-0.000286,0.000600,-2.484609,0.460671,0.030114,0.349985,0.000000,4574,299,4822,218,16
2,9859,0,24476.310985,357.000000,4.599047,0.000315,0.002012,-1.460614,0.282686,0.043919,0.406222,0.000000,2787,433,6352,274,13
3,9864,0,54895.401358,357.000000,4.400547,-0.000029,0.000953,-1.741512,0.325426,0.034773,0.383199,0.000000,3210,343,6002,273,36
4,9842,0,54344.318634,324.000000,4.293233,-0.000094,0.000958,-1.843559,0.351453,0.033022,0.376563,0.000000,3459,325,5768,257,33
5,9805,0,49277.809995,237.000000,4.255380,-0.000109,0.001034,-1.884837,0.379704,0.044263,0.373033,0.000000,3723,434,5371,246,31
6,9819,0,50797.754252,198.000000,4.371626,-0.000083,0.000992,-1.834126,0.366840,0.044811,0.380989,0.000000,3602,440,5505,236,36
7,9765,0,41723.062468,190.000000,4.543881,0.000129,0.001130,-1.529711,0.320430,0.055914,0.386218,0.000000,3129,546,5770,303,17
8,9732,0,50485.970921,183.000000,4.609022,0.000169,0.000905,-1.419946,0.303535,0.056823,0.386684,0.000000,2954,553,5945,264,16
9,9624,0,61360.765170,197.000000,4.816189,0.000282,0.000682,-1.142676,0.270158,0.057149,0.386550,0.000000,2600,550,6181,283,10
10,9730,0,83574.875540,183.000000,4.823022,0.000097,0.000542,-1.372008,0.279445,0.056937,0.385914,0.000000,2719,554,6164,283,10
11,9782,0,62656.170620,182.500000,4.553057,-0.000060,0.000810,-1.758116,0.329892,0.052443,0.379733,0.000000,3227,513,5766,250,26
12,9830,0,47984.128179,186.000000,4.373957,-0.000254,0.001148,-2.099747,0.395117,0.058494,0.377910,0.000000,3884,575,5118,228,25
13,9845,0,38491.794617,183.000000,4.455561,-0.000092,0.001288,-1.797777,0.358558,0.064195,0.391129,0.000000,3530,632,5385,279,19
14,9807,0,35655.127664,195.000000,4.581217,0.000029,0.001312,-1.613059,0.327113,0.059549,0.392060,0.000000,3208,584,5728,274,13
15,9798,0,45899.317003,185.000000,4.503266,-0.000055,0.001017,-1.710495,0.349459,0.048479,0.382846,0.000000,3424,475,5598,286,15
16,9792,0,45298.791258,158.000000,4.391953,-0.000135,0.001116,-1.848513,0.358252,0.051062,0.375257,0.000000,3508,500,5513,249,22
17,9727,0,42892.516912,169.000000,4.770536,0.000260,0.001115,-1.392430,0.294130,0.069189,0.385894,0.000000,2861,673,5888,285,20
18,9852,0,57772.864495,178.000000,4.392306,-0.000166,0.000959,-2.074720,0.402456,0.054304,0.372125,0.000000,3965,535,5040,266,46
19,9743,257,36967.689315,208.000000,4.540285,0.000066,0.001361,-1.654265,0.333162,0.061172,0.380200,0.000000,3246,596,5603,266,32
