round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,62310,0.108186,0.110835,0.090542,74452.255420,0.174707,0.292136,0.260536,0.360896,0.000000
1,58156,0.118893,0.081630,0.097918,70613.458377,0.138644,0.284751,0.263980,0.365907,0.000000
2,49618,0.034307,0.124308,0.038455,44265.026052,0.193377,0.229030,0.252993,0.356532,0.000000
3,50956,0.031255,0.124509,0.035840,44437.948919,0.188653,0.219248,0.255809,0.349970,0.000000
4,50220,0.024978,0.131949,0.027857,45031.109713,0.192951,0.220151,0.252190,0.351824,0.000000
5,50185,0.034357,0.128480,0.038616,44649.840787,0.189280,0.236963,0.251749,0.354784,0.000000
6,51772,0.063279,0.112788,0.070360,46561.663206,0.178417,0.258634,0.257321,0.353992,0.000000
7,52041,0.071130,0.109261,0.078119,47385.008086,0.182433,0.265041,0.259814,0.361732,0.000000
8,51965,0.063800,0.115012,0.069279,47855.210448,0.188685,0.264601,0.258001,0.363552,0.000000
9,51898,0.056099,0.121824,0.060033,48496.300911,0.194882,0.262091,0.254538,0.365096,0.000000
10,50798,0.049441,0.127844,0.051549,48720.820292,0.201248,0.259282,0.254853,0.363647,0.000000
11,50431,0.048038,0.132028,0.049569,48873.634750,0.203367,0.257183,0.252246,0.360633,0.000000
12,50220,0.047926,0.133060,0.049416,48706.657047,0.205177,0.259478,0.253086,0.357723,0.000000
13,50883,0.056747,0.127306,0.057981,49799.324174,0.198652,0.261777,0.258692,0.360273,0.000000
14,51241,0.052902,0.126198,0.053091,51058.016497,0.195761,0.259772,0.255167,0.360100,0.000000
15,51382,0.059755,0.121295,0.059528,51578.142063,0.186836,0.257405,0.255693,0.359459,0.000000
16,51768,0.062038,0.119677,0.061116,52549.027450,0.186428,0.258036,0.258828,0.356257,0.000000
17,51649,0.061279,0.119374,0.059857,52876.683841,0.187613,0.256830,0.257624,0.360928,0.000000
18,51911,0.059316,0.120159,0.058139,52961.631311,0.180039,0.256034,0.256497,0.358251,0.000000
19,51677,0.057487,0.120821,0.056533,52549.007200,0.183950,0.254930,0.258664,0.358482,0.000000
