round,samples,recall_at_10,recall_at_50,mean_distance_error
0,191,0.600000,0.520000,0.006066
1,214,0.600000,0.520000,0.006066
2,235,0.600000,0.520000,0.006066
3,204,0.600000,0.520000,0.006066
4,193,0.600000,0.520000,0.006066
5,229,0.600000,0.520000,0.006066
6,183,0.600000,0.520000,0.006066
7,203,0.600000,0.520000,0.006066
8,200,0.600000,0.520000,0.006066
9,190,0.600000,0.520000,0.006066
10,215,0.600000,0.520000,0.006066
11,190,0.600000,0.520000,0.006066
12,187,0.600000,0.520000,0.006066
13,226,0.600000,0.520000,0.006066
14,182,0.600000,0.520000,0.006066
15,212,0.600000,0.520000,0.006066
16,214,0.600000,0.520000,0.006066
17,233,0.600000,0.520000,0.006066
18,200,0.600000,0.520000,0.006066
19,192,0.600000,0.520000,0.006066
