round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.059794,0.260559
1,20,0.129846,0.271442
2,30,0.140409,0.278301
3,40,0.157238,0.283936
4,50,0.162377,0.290505
5,60,0.165740,0.296472
6,70,0.172990,0.302647
7,80,0.175666,0.309526
8,90,0.187204,0.315197
9,100,0.190307,0.319902
10,110,0.194692,0.326643
11,120,0.200217,0.332911
12,130,0.204824,0.337996
13,140,0.210305,0.343589
14,150,0.211999,0.349871
15,160,0.216126,0.356426
16,170,0.226107,0.361984
17,180,0.229105,0.368204
18,190,0.231253,0.375100
19,200,0.231907,0.381419
